Record Type,Name,Season/Year,Promotion Type,Theme,Target Categories
Campaign,Dress Normal,2015,Brand repositioning campaign; minimalist advertising,"Anti-fashion, individuality, normcore aesthetic","Core basics, denim, tees, everyday essentials"
Campaign,Meet Me in the Gap (Holiday),2016,Holiday music-led advertising campaign,"Optimism, unity, cultural connection","Holiday sweaters, party wear, winter apparel"
Campaign,Back to Blue,2017,Denim-focused brand campaign,"Denim heritage revival, authenticity","Jeans, denim jackets, classic blue styles"
Campaign,Logo Remix,2018,Logo redesign & limited-edition drops,"Heritage logo revival, modern streetwear influence","Logo hoodies, sweatshirts, tees"
Campaign,Individuals of Style,2019,Inclusive storytelling campaign,"Personal style, diversity, individuality","Denim, basics, self-expression staples"
Campaign,Generation Good,2020,Sustainability-focused brand campaign,"Sustainable fashion, responsible sourcing","Organic cotton tees, sustainable denim, eco-friendly basics"
Campaign,Mask Up / PPE Initiative,2020,Cause-driven promotional initiative,"Community support, health & safety","Face masks, essentials, basics"
Campaign,YZY Gap Launch,2021,Celebrity collaboration product drop,"Minimalism, cultural hype, exclusivity","Hoodies, outerwear, elevated basics"
Campaign,Love by Gap,2022,Inclusive marketing campaign,"Belonging, love, diversity","Logo tees, sweatshirts, everyday apparel"
Campaign,Get Loose,2023,Denim trend campaign,"Relaxed fits, 90s nostalgia","Baggy jeans, loose denim styles"
Campaign,Linen Moves,2024,Seasonal lifestyle campaign,"Lightweight comfort, summer movement","Linen shirts, summer dresses, lightweight separates"
Campaign,Better in Denim,Fall 2025,Viral digital advertising; influencer collaboration,"Youth culture, denim heritage, self-expression","Denim (jeans, jackets, trending fits)"
Campaign,Feels Like Gap,Spring 2025,Lifestyle storytelling; multi-channel advertising,"Comfort, confidence, heritage basics","Tees, sweatshirts, soft denim"
Campaign,GapStudio Fall Campaign,Fall 2025,Celebrity-led editorial campaign,"Multigenerational style, craftsmanship","Elevated apparel, tailored pieces, outerwear"
Product,High Rise '90s Slim Straight Jeans,Ongoing,Product Recommendation,Core Bestseller,Denim
Product,High Rise Vintage Slim Jeans,Ongoing,Product Recommendation,Trending Classic,Denim
Product,High Rise Stride Wide-Leg Jeans,Ongoing,Product Recommendation,Trending,Denim
Product,Straight Fit Jeans (Medium Wash),Ongoing,Product Recommendation,Core Bestseller,Denim
Product,90s Loose Jeans,Ongoing,Product Recommendation,Trending,Denim
Product,Organic Cotton VintageSoft T-Shirt,Ongoing,Product Recommendation,Top Rated,Tops
Product,Classic V-Neck T-Shirt (3-Pack),Ongoing,Product Recommendation,Value Pack,Tops
Product,Big Shirt Button-Up,Ongoing,Product Recommendation,Trending,Tops
Product,Cotton Jersey V-Neck T-Shirt,Ongoing,Product Recommendation,Top Rated,Tops
Product,Pique Polo Shirt,Ongoing,Product Recommendation,Core Classic,Tops
Product,Gap Logo Pullover Hoodie,Ongoing,Product Recommendation,Bestseller,Sweatshirts & Hoodies
Product,Heritage Logo Full-Zip Hoodie,Ongoing,Product Recommendation,Popular,Sweatshirts & Hoodies
Product,VintageSoft Raglan Sweatshirt,Ongoing,Product Recommendation,Top Rated,Sweatshirts & Hoodies
Product,Recycled Lightweight Quilted Liner Jacket,Ongoing,Product Recommendation,Seasonal Pick,Outerwear
Product,Waxed Canvas Barn Jacket,Ongoing,Product Recommendation,Trending,Outerwear
Product,Oversized Knit-Trim Bomber Jacket,Ongoing,Product Recommendation,Trending,Outerwear
Product,VintageSoft Boyfriend Joggers,Ongoing,Product Recommendation,Popular,Bottoms
Product,GapFit Tech High-Rise Split-Hem Pants,Ongoing,Product Recommendation,Trending,Activewear
Product,Essential Khakis,Ongoing,Product Recommendation,Core Classic,Bottoms
Product,Kids High Rise '70s Flare Jeans,Ongoing,Product Recommendation,Trending,Denim
Product,Baby Pull-On Slim Jeans,Ongoing,Product Recommendation,Popular,Denim
Product,Kids Pocket T-Shirt,Ongoing,Product Recommendation,Top Rated,Tops
Product,Baby PJ Set,Ongoing,Product Recommendation,Bestseller,Sleepwear
