Segment,Category,Product Name,Fit/Style,Occasion,Recommendation Tag
Women,Denim,High Rise '90s Slim Straight Jeans,Straight Leg,Everyday / Casual,Core Bestseller
Women,Denim,High Rise Vintage Slim Jeans,Slim Fit,Casual / Work Casual,Trending Classic
Women,Denim,High Rise Stride Wide-Leg Jeans,Wide Leg,Street Style / Trend,Trending
Men,Denim,Straight Fit Jeans (Medium Wash),Straight Fit,Everyday Wear,Core Bestseller
Men,Denim,90s Loose Jeans,Relaxed Fit,Casual / Streetwear,Trending
Women,Tops,Organic Cotton VintageSoft T-Shirt,Regular Fit,Everyday Basic,Top Rated
Women,Tops,Classic V-Neck T-Shirt (3-Pack),Regular Fit,Everyday Essential,Value Pack
Women,Tops,Big Shirt Button-Up,Oversized,Work / Casual Layering,Trending
Men,Tops,Cotton Jersey V-Neck T-Shirt,Regular Fit,Everyday Basic,Top Rated
Men,Tops,Pique Polo Shirt,Regular Fit,Smart Casual,Core Classic
Unisex,Sweatshirts & Hoodies,Gap Logo Pullover Hoodie,Relaxed Fit,Casual / Lounge,Bestseller
Unisex,Sweatshirts & Hoodies,Heritage Logo Full-Zip Hoodie,Regular Fit,Layering / Casual,Popular
Unisex,Sweatshirts & Hoodies,VintageSoft Raglan Sweatshirt,Regular Fit,Casual Everyday,Top Rated
Women,Outerwear,Recycled Lightweight Quilted Liner Jacket,Regular Fit,Transitional Weather,Seasonal Pick
Men,Outerwear,Waxed Canvas Barn Jacket,Regular Fit,Outdoor / Casual,Trending
Women,Outerwear,Oversized Knit-Trim Bomber Jacket,Oversized,Fashion Layer,Trending
Women,Bottoms,VintageSoft Boyfriend Joggers,Relaxed Fit,Lounge / Casual,Popular
Women,Activewear,GapFit Tech High-Rise Split-Hem Pants,Athletic Fit,Active / Athleisure,Trending
Men,Bottoms,Essential Khakis,Straight Fit,Work / Casual,Core Classic
Kids,Denim,Kids High Rise '70s Flare Jeans,Flare,Casual,Trending
Baby,Denim,Baby Pull-On Slim Jeans,Slim Fit,Everyday Wear,Popular
Kids,Tops,Kids Pocket T-Shirt,Regular Fit,Everyday Basic,Top Rated
Baby,Sleepwear,Baby PJ Set,Regular Fit,Sleepwear,Bestseller
